manifest_sha256,chunk_index,chunk_file,case_number,case_id,configuration_number,configuration_id,pair_index,eeg_snr_db,meg_snr_db,scenario,surface_centers,deep_index,deep_surface_ratio,correlation,method,status,error,elapsed_seconds,temporal_rank,selected_templates,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v4,ok,,37.25389120000182,3,0,1,0.9985802469135803,0.9989105300604768,0.9989081996434939,nan,1.012969221679224,1.593894759106314,4.627401780579963,nan,nan,0,0.0,nan,0,0,3,3,0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,MNE,ok,,0.9664411999983713,,,1,0.7847839506172839,0.9075062255425116,0.907516339869281,nan,1.797916673103478,25.099925351326668,11.94345982554302,nan,nan,0,0.2702274678573774,nan,0,1,262,255,7
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,dSPM,ok,,0.9354756999528036,,,1,0.8040432098765432,0.9292956243329776,0.9293820558526441,nan,1.79856376341733,19.591435121856293,17.532637128830036,nan,nan,0,0.32300781904076187,nan,0,1,299,293,6
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,sLORETA,ok,,0.9401382999494672,,,1,0.7237345679012346,0.8670772560180245,0.8674390968508615,nan,1.8413921842671044,27.545038135779098,21.236205593919493,nan,nan,0,0.3562766799199219,nan,0,1,278,268,10
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,eLORETA,ok,,0.9634523999993689,,,1,0.816358024691358,0.9221510731649473,0.9220811051693403,nan,1.7575856678504724,16.71717770769147,7.755141529980423,nan,nan,0,0.22221112073933652,nan,0,1,332,320,12
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,LCMV,ok,,0.4157284999964759,,,1,0.3570061728395062,0.48399887347325987,0.48503416518122394,nan,1.9963836513598852,60.60902436192197,89.28234287529534,nan,nan,0,0.0,nan,0,0,1641,1625,16
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,Dipole fitting (grid),ok,,0.2932416000403464,,,1,0.49972222222222223,0.4997998932764141,0.4997994652406417,nan,2.0000000000000004,17.519367832272366,7.755141529980423,nan,nan,0,0.0,nan,0,0,3,3,0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,RAP-MUSIC,ok,,0.3231989999767393,,,1,0.49972222222222223,0.4997998932764141,0.4997994652406417,nan,2.0000000000000004,9.15870989263636,7.755141529980423,nan,nan,0,0.0,nan,0,0,2,2,0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v4,ok,,25.4626618999755,3,0,0,1.0,1.0,nan,1.0,0.020378535595606307,nan,nan,0.0,0.0,1,1.0,0.0,1,0,9,8,1
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,MNE,ok,,0.979788800003007,,,0,0.99,0.9994675895115134,nan,1.0,1.8966630429987474,nan,nan,15.21642966987391,0.0,1,1.0,0.0,1,0,447,438,9
